sentence,years_found,percentages_found
According to the data of Turkish Statistics Institute (TURKSTAT) 50.32% of the country’s total population is under the age of 24.,,50.32%
"On the other hand, the people under the age of 40 constitute 73.36% of the total population.",,73.36%
"In order to represent the whole population of 15-24 year olds living in Turkey, the cities where the survey was to be implemented was determined according to ‘The Nomenclature of Territorial Units for Statistics’ (NUTS); and in the determination of the quotas concerning the population, gender, age a",2000,
"In reference to the province-based results of 2000 Census conducted by TURKSTAT, quotas were applied for sex, age sub-groups and educational status for each province.",2000,
"While age groups covered those who were born between 1983-1985, 1986-1988 and 1989-1991, educational status 104 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Secondary School Graduate High School Graduate Uneducated Primary School Graduate University Graduate With 100 + employees OCCUPATION EDUCATION Self-","1983, 1985, 1986, 1988, 1989, 1991, 2008",
"insurance, etc.) With 100 + employees With 50 - 99 employees With 10 - 49 employees With 1 - 9 employees B B B A A B B A A A B B B A A C1 C1 B B A C2 C1 C1 B B Vehicle owners / vehicle owner drivers DE C2 C2 C1 C1 DE DE C2 C2 C1 Large farmers / fishermen / with 4+ employees Small farmers / fishermen",2008,
106 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Secondary School Graduate High School Graduate Uneducated Primary School Graduate University Graduate OCCUPATION EDUCATION Free Lance / Uninsured / Piecework / Part - time Workers Marketing and trade DE C2 C2 C1 C1 Skilled seasonal worker (uninsured) Share,2008,
"The sample size by socio-economic status was as such: 107 TURKEY 2008 / HUMAN DEVELOPMENT REPORT groups covered primary school graduates, secondary school graduates, high school graduates, university graduates, high school students and university students.",2008,
108 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Twenty four focus group meetings with young people aged 15-24 and four focus groups with adults were conducted between 20 May 2007 and 20 June 2007.,"2008, 2007, 2007",
ANNEX FOUR Methodology of the qualitative survey 109 TURKEY 2008 / HUMAN DEVELOPMENT REPORT d.,2008,
"The team also held meetings with nearly 40 academics and experts in the area and with approximately 35 representatives of public institutions such as Ministry of Justice, Ministry of Health, Ministry of Education, Ministry of Labour and others… 110 HUMAN DEVELOPMENT REPORT / TURKEY 2008 ANNEX FIVE 2",2008,
"2022 Indicator 23: Number of associations, foundations and unions and number of members and unionization rate Indicator 24: Proportion of households with no access to safe drinking water Indicator 25: Proportion of households with no access to adequate sanitation 111 TURKEY 2008 / HUMAN DEVELOPMENT ","2022, 2008, 1990",
"Ranking among 177 Countries Youth unemployment rate, total (% of labour force aged 15-24) (2006) 10 Youth unemployment rate (female rate as % of male rate) (2006) 11 Public expenditure on health (% of GDP) (2004) 41 Internet users (per 1,000 people) (2005) 52 Tertiary students in science, engineerin","2006, 2006, 2004, 2005, 1999, 2005, 1995, 2005, 2005, 2005, 2005, 2005, 2005, 2002, 2005, 2005, 2005, 2005, 2005, 2005, 2008, 2008, 2008, 2000",
"3 Unless otherwise indicated, the statistical data used in this Report were taken from sources that were published before the 2007 Population Census.",2007,
"5 Educational Reform Initiative, “Call for the to-be-Members of the 60th Government”, July 2007.",2007,
"Shiva Kumar (eds.), Readings in Human Development: Concepts, Measures and Policies for a Development Paradigm, 2nd edition, New Delhi, Oxford University Press, 2005, p.",2005,
"7 Turkish Statistics Institute (TURKSTAT), Household Labour Force Survey 2006 data.",2006,
"İsmail Tufan and Özgür Arun, Türkiye Özürlüler Araştırması 2002 İleri Analiz Raporu (Turkey Handicapped People Research 2002 Advanced Analysis Report), The Scientific and Technical Research Council of Turkey (TÜBİTAK) and State Planning Organization (SPO), Ankara, January 2006.","2002, 2002, 2006",
"9 Turkish Statistics Institute (TURKSTAT), Household Labour Force Survey 2006 data.",2006,
"10 The figure was provided by the Ministry of Justice, in July 2007.",2007,
"Çarkoğlu et al., Siyasi Partilerde Reform (Reforming the Political Parties), in Turkish, İstanbul, Turkish Economic and Social Studies Foundation (TESEV) publications, 2000.",2000,
"12 Ministry of National Education, National Education Statistics for Formal Education 20062007, Ankara, 2007.",2007,
14 This data is based on Turkish Statistics Institute’s Household Labour Force Database 2006 projections.,2006,
"15 Turkish Statistics Institute, Household Labour Force Survey Database, 2006.",2006,
"16 Report of the UN Secretary-General to the General Assembly, “Implementation of the World Programme of Action for Youth to the Year 2000 and Beyond,” 12 July 2001.","2000, 2001",
Private sector involvement in youth issues is also increasing through companies’ support 115 TURKEY 2008 / HUMAN DEVELOPMENT REPORT for corporate social responsibility projects.,2008,
"20 State Planning Organization, 9th Development Plan (2007-2013), Ankara, 2006.","2007, 2013, 2006",
"21 From a focus group meeting with youth-NGO members/volunteers in Ankara, May 2007.",2007,
22 GSGM 2006 budget proposal and 2006 consolidated budget.,"2006, 2006",
"23 2006 GSGM budget distribution to departments: Directorate of Administrative and Financial Affairs Department (3%), Direcotrate of Personnel and Training Department (0.1%), Directorate of Foreign Affairs Department (0.03%), Directorate of A.P.K Department (0.4%), Aid to Provincial Directorates (56",2006,"3%, 0.1%, 0.03%, 0.4%, 56.43%, 28.38%, 0.4%, 0.25%, 0.4%, 1%, 1%, 7.5%, 1%"
This US$ 1.93 million fund is being used between 2006-2008.,"2006, 2008",
"25 From a focus group meeting with eight participants in one of the villages of Lüleburgaz, in the Thracian Region, June 2007.",2007,
"26 Ideas communicated in the last three concluding paragraphs are drawn heavily from the UNESCO document, Empowering Youth Through National Policies: UNESCO’s Contribution, which was published in 2004.",2004,
"According to the OECD Education at a Glance 2007 Report, “OECD countries with relatively small education budgets (e.g.",2007,
"35 Until 1997, compulsary primary education in Turkey was only five years.",1997,
"38 70% get into the early childhood education system in Mexico, while in European Union countries it is almost 100% of the children.",,"70%, 100%"
39 AÇEV webpage (http://www.acev.org/7cokgec/onem.asp) accessed on 8 June 2007.,2007,
"40 Although first established in 1974, these schools have not shown good performance.",1974,
"To date, only 70,000 people have received electricity technician certificates from these 116 HUMAN DEVELOPMENT REPORT / TURKEY 2008 institutes, according to the sources of the Ministry of Education.",2008,
"41 Turkish Statistical Institute, Houseld Labour Force Survey, 2006.",2006,
"43 More information is available on the Ministry of Education Official Web Page, (https:// www.meb.gov.tr) 44 State made changes to the university student selection exam (ÖSS) in 2006 and there are ongoing efforts to change the student selection and placement criteria and processes.",2006,
"45 In 2007 ÖSS (university entrance exam), among 1,600,000 valid test papers, 47,000 scored zero.",2007,
"Number of those that scored zero was 25,000 in 2006.",2006,
"46 OECD, Education at a Glance, 2007 Report.",2007,
47 This is an April 2006-updated data.,2006,
Nine of these 17 universities will be opened in the 2007-2008 education year.,"2007, 2008",
"49 OECD, Education at a Glance 2007 Report.",2007,
"50 OECD, Education at a Glance 2007 Report.",2007,
"51 Ministry of National Education, National Education Statistics 2006-2007: Formal Education.","2006, 2007",
"52 OECD, Education at a Glance 2007 Report.",2007,
"53 Üner Kırdar, Humanizing the Digital Age, 2007, p.",2007,
"Department of Education, “Progress in International Reading Literacy Study 2001,” 2001.","2001, 2001",
"57 Hakan Ercan, ILO Youth Unemployment Report, 2007.",2007,
"60 2007 Report by Hakan Ercan on Youth Employment, originally prepared for the World Bank.",2007,
"63 Hakan Ercan, ILO Youth Unemployment Report, 2007.",2007,
"64 OECD, Programme for International Student Assesment (PISA), 2003.",2003,
"65 According to Turkey’s Statistical Yearbook of 2006, the incidence of extreme poverty (the percentage of the population living on less than US$ 1 a day) is very low, at less than 117 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 0.02%, but as the poverty threshold is raised, poverty rates also increase d","2006, 2008","0.02%, 15.42%, 20.5%"
"67 Educational Reform Initiative, “Call for the to-be-Members of the 60th Government”, July 2007.",2007,
"The document can be reached at http://www.erg.sabanciuniv.edu/index.html 68 United Nations General Assembly, S–27/2 A World Fit for Children, New York, May 2002.",2002,
"Otaran et al., A Gender Review in Education: Turkey 2003, United Nations Children’s Fund (UNICEF), Ankara, 2003.","2003, 2003",
"70 Hacettepe University Institute of Population Studies, Turkey Demographic and Health Survey, Ankara, 2003.",2003,
"The Dynamics of Honour Killings in Turkey, United Nations Population Fund (UNFPA), Ankara 2005.",2005,
"73 From Haberler.com on http://www.haberler.com/tore-cinayetleri-arastirmasi-haberi, 2007.",2007,
"74 The Hacettepe Institute of Population Studies, Turkey Demographic and Health Survey, 2003.",2003,
"76 Ayşe Gül Altınay and Yeşim Arat, Violence Against Women in Turkey, 2007.",2007,
77 Turkey Demographic and Health Survey 2003.,2003,
"78 Ministry of Health, Ankara, 2005.",2005,
"79 Turkey Demographic and Health Survey 2003, op.",2003,
"Yılmaz, The Quality of Fiscal Adjustment in Turkey: The Case of Social Expenditures, 2006.",2006,
84 From an interview with Ankara Alcohol and Substance Addiction Treatment and Training Centre (AMATEM) officials in June 2007.,2007,
"85 From a focus group in Lüleburgaz with male workers employed in unskilled jobs, June 2007.",2007,
"Ercan, Hakan (2007) / Youth Employment in Turkey / Ankara: International Labour Office.",2007,
118 HUMAN DEVELOPMENT REPORT / TURKEY 2008 89 The targets are 60% for women and 50% for older workers between the ages of 55-64.,2008,"60%, 50%"
"90 Hakan Ercan, background chapter, World Bank Report on Youth Unemployment, 2007.",2007,
"92 Hakan Ercan, background chapter, World Bank Report on Youth Unemployment, 2007.",2007,
"(Daughters were deemed to need even less education – 12% of all women in the labour force are illiterate, 50% have only received primary education.) Compulsory schooling was raised to eight years only in 1997.",1997,"12%, 50%"
"Sustainable pathways to an effective, equitable and efficient education system for pre-school through secondary school education, 2005.",2005,
"97 Tunalı et al, 2004; World Bank, 2006.","2004, 2006",
"98 OECD, Economic Survey of Turkey 2006, Paris.",2006,
"99 Hakan Ercan,“Labour markets and expected demand for vocational education in Turkey, 2003”.",2003,
"101 Ayşe Akpınar and Hakan Ercan, “Vocational and technical education system report: Turkey 2001”, Turin: European Training Foundation, 2003.","2001, 2003",
"103 Hakan Ercan, 2003; Milena Corradini, H.",2003,
"Turin: European Training Foundation, 2004.",2004,
"104 İnsan Tunalı et al (2004), Employment Background Study, European Training Foundation.",2004,
"108 Although, the best one should hope for is the level that prevails in Greece or Italy, for 119 TURKEY 2008 / HUMAN DEVELOPMENT REPORT example: 20 to 30% range.",2008,30%
"111 Following the elections on 22 July 2007, 52 women deputies entered the parliament.",2007,
"112 From the focus group meeting with youth-NGO members/volunteers in Ankara, May 2007.",2007,
"114 From the focus group meeting with youth-NGO members/volunteers in Ankara, May 2007.",2007,
2000.,2000,
"“Research on K-12 School-Based Service Learning: The Evidence Builds.” Phi Delta Kappan, May 2000.",2000,
"116 From the focus group meeting with youth-NGO members/volunteers in Ankara, May 2007.",2007,
"117 From the focus group meeting with Local Youth Councils’ members, May 2007.",2007,
Over 15 million Euros was provided in 2003-2007 for the financing of scholarships.,"2003, 2007",
"123 According to TURKSTAT’s latest estimations made before the 2007 Population Census, Turkey’s population growth rate was 1.26%.",2007,1.26%
TURKSTAT’s projections based on the same estimations also show that the population growth rate will continue to slow down significantly in the next decade and decrease to nearly 1%.,,1%
"New estimations and projections on the population growth rate will later follow, according to the results of the 2007 Population Census.",2007,
124 These statistics are taken from the editorial of the Turkish monthly economic magazine Capital’s November 2003 issue that was commemorating the 80th year of the Republic.,2003,
"126 Can Fuat Gürlesel, Türkiye’nin Kapısındaki Fırsat: 2025’e Doğru Nüfus, Eğitim ve Yeni Açılımlar (The Opportunity at Turkey’s Gate: Population, Education and New Directions towards 2025), October 2004.","2025, 2025, 2004",
"127 Cem Behar, “The General Panorama of Turkey’s Population: 1923-2023,” in C.","1923, 2023",
"Istanbul: TÜSIAD (Turkish Industrialists and Businessmen Association), 1999.",1999,
128 Their highest proportion in the population was 20.4% in 1990.,1990,20.4%
"129 İnsan Tunalı, “Labour market implications of the demographic window of opportunity,” 120 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Forum, December1996.",2008,
"130 This fact is also touched upon in UNFPA State of World Population 2007 , Unleashing the Potential of Urban Growth.",2007,
"131 Cem Behar, “The General Panorama of Turkey’s Population: 1923-2023,” 1999.","1923, 2023, 1999",
"132 Trends quoted here are based on the study of Can Fuat Gürlesel, Türkiye’nin Kapısındaki Fırsat: 2025’e Doğru Nüfus, Eğitim ve Yeni Açılımlar (The Opportunity at Turkey’s Gate: Population, Education and New Directions towards 2025), October 2004.","2025, 2025, 2004",
"Neiadas, CEO, OPAP SA, Greece, at the OECD Forum on Balancing Globalisation in Paris on 22-23 May 2006.",2006,
"134 TÜBİTAK, Vision 2023 Eğitim Ara Raporu (Education Intermission Report).",2023,
"135 UNESCO, Education For All Global Monitoring Report 2007: Strong Foundations Early Childhood Care and Education.",2007,
"137 UIS Bulletin on Science and Technology Statistics, April 2004, Issue No.",2004,
"1 138 ILO, Global Employment Trends for Youth , 2006.",2006,
"139 The YEN was created under the impetus of the Millennium Declaration, where the largest gathering of Heads of State and Government ever met at the Millennium Summit in September 2000 and resolved to “ develop and implement strategies that give young people everywhere a real chance to find decent ","2000, 2002, 2004, 2006, 2006",
"2948, July 2007.",2007,
"Bradburry&Janti, 2001; Neville, 2002: 8 from Judith Bessant, Principles for Developing Youth Policy, Policy Studies, Vol.","2001, 2002",
"26, No.1, 2005, p.105.",2005,
"(http://www.un.org/esa/socdev/unyin/iyd2006.htm) 143 United Nations Population Fund, UNFPA State of World Population 2003.",2003,
"144 UN, 1995.",1995,
"II, August 2005.",2005,
"146 Ayşe Buğra and Çağlar Keyder, New Poverty and the Changing Welfare Regime of Turkey, 2003.",2003,
"149 Buğra and Keyder, New Poverty and the Changing Welfare Regime of Turkey, 2003.",2003,
"150 SPO and UNDP, Millennium Development Goals Report, Turkey 2005.",2005,
121 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 151 İbid.,2008,
"152 Data obtained from TURKSTAT’s 2007 census results are specified with an *, all other relevant data are the TURKSTAT population and development findings of 2006.","2007, 2006",
"154 The data in this section are taken from TURKSTAT population and development findings, 2006 (http://www.turkstat.gov.tr).",2006,
"155 The data in this section are taken from TURKSTAT population and development Findings, 2006 (http://www.turkstat.gov.tr).",2006,
"156 This number is for the year 2004 157 Statistics on labour force are taken from TURKSTAT Household Labour Force Survey, 2006 158 Data on poverty are taken from Turkish Statistics Institute’s Survey on Poverty, conducted in 2006.","2004, 2006, 2006",
"Sources: The 2008 Programme, State Planning Oranization; TURKSTAT; and Ministry of Finance.",2008,
160 Data are obtained from TURKSTAT 2007 census results.,2007,
161 Data are obtained from TURKSTAT Household Labour Force Suvey results of October 2007.,2007,
162 Schooling ratios of the year 2005-2006 were taken from the TURKSTAT education statistics.,"2005, 2006",
Latest population projections according to results of General Population Census in 2000 year were used.,2000,
(2006) ‘Starting Well or Losing Their Way?,2006,
"122 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Background Papers Acar, Hakan.",2008,
2006.,2006,
2004.,2004,
2007.,2007,
2007.,2007,
2006.,2006,
"Education Reform Initiative, 2007.",2007,
2003.,2003,
“Vocational and Technical Education System Report: Turkey 2001”.,2001,
2007.,2007,
August 2007.,2007,
2005.,2005,
"BIBLIOGRAPHY 123 TURKEY 2008 / HUMAN DEVELOPMENT REPORT Bamber, John, and Hamish Murphy.",2008,
1999.,1999,
1999.,1999,
"“The General Panorama of Turkey’s Population: 1923-2023” (Behar, Cem (ed.).","1923, 2023",
"Istanbul: TUSIAD Publications, 1999.",1999,
2004.,2004,
2005.,2005,
2003.,2003,
2005.,2005,
2003.,2003,
"Burcu, Esra, 1998.",1998,
2000.,2000,
2001.,2001,
2004.,2004,
“Household Budget Survey 2002”.,2002,
2007.,2007,
July 2007 (http://www.erg.sabanciuniv.edu/index.html).,2007,
2004.,2004,
2003.,2003,
"Paper presented at the International Conference on Innovation in Higher Education, Kiev, May 2003.",2003,
2007.,2007,
"124 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Fukuda-Parr, Sakiko, and A.K.",2008,
2005.,2005,
2005.,2005,
2002.,2002,
2005.,2005,
2003.,2003,
2004.,2004,
2004.,2004,
"”Türkiye’nin Kapısındaki Fırsat: 2025’e Doğru Nüfus, Eğitim ve Yeni Açılımlar” (“The Opportunity at Turkey’s Gate: Population, Education and New Directions towards 2025”).","2025, 2025",
2003.,2003,
“Turkey Demographic and Health Survey 2003”.,2003,
2006.,2006,
1990.,1990,
2005.,2005,
2007.,2007,
2007.,2007,
1998.,1998,
2003.,2003,
"125 TURKEY 2008 / HUMAN DEVELOPMENT REPORT McKenzie, David J.",2008,
2007.,2007,
"2948, July 2007.",2007,
2007.,2007,
“National Education Statistics 2006-2007: Formal Education”.,"2006, 2007",
1968.,1968,
2006.,2006,
Speech delivered at the OECD Forum on Balancing Globalisation in Paris on 22-23 May 2006.,2006,
2001.,2001,
2006.,2006,
“Economic Survey of Turkey 2006”.,2006,
2004.,2004,
“PISA (Programme for International Student Assessment) 2003 Assessment: Problem Solving for Tomorrow’s World”.,2003,
"“Factbook 2007: Economic, Environmental and Social Statistics”.",2007,
“Education at a Glance 2007—OECD Indicators”.,2007,
2003.,2003,
“A Gender Review in Education: Turkey 2003”.,2003,
1993.,1993,
2005.,2005,
1992.,1992,
2000.,2000,
2003.,2003,
2002.,2002,
Istanbul: The History 126 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Foundation Publications.,2008,
2005.,2005,
2005.,2005,
2002.,2002,
2006.,2006,
“Turkey Handicapped People Research 2002: Advanced Analysis Report”.,2002,
2004.,2004,
1996.,1996,
“Labour Market Implications of the Demographic Window of Opportunity.” Forum December 1996.,1996,
2006.,2006,
"“Employment Background Study”, Turin, European Training Foundation, 2004; World Bank, Turkey Labour Market Study, 2006.","2004, 2006",
2003.,2003,
2006.,2006,
July 2007.,2007,
2007.,2007,
Turkey’s Statistical Yearbook of 2006.,2006,
2003.,2003,
“Vision 2023: Education Intermission Report”.,2023,
2005.,2005,
2004.,2004,
"1, April 2004.",2004,
2001.,2001,
Implementation of the World Programme of Action for Youth to the Year 2000 and Beyond (A/56/180).,2000,
May 2007.,2007,
127 TURKEY 2008 / HUMAN DEVELOPMENT REPORT _____.,2008,
2001.,2001,
2004.,2004,
“World Youth Development Report 2003: The Global Situation of Young People”.,2003,
2005.,2005,
“World Youth Report: Young People Today and in 2015”.,2015,
2001.,2001,
“Bosnia and Herzegovina 2000 Youth Human Development Report”.,2000,
Global Human Development Report 2000: Human Rights and Human Development.,2000,
2001.,2001,
“Lithuania Human Development Report 2001: Opportunities for Youth and Human Development”.,2001,
2002.,2002,
“Russian Federation Human Development Report 2001: Generational Aspects of Human Development”.,2001,
“Jordan Human Development Report 2004: Building Sustainable Livelihoods”.,2004,
“Panama Human Development Report 2004: La Voz de la Juventud”.,2004,
2002.,2002,
2004.,2004,
2005.,2005,
“Education for All Global Monitoring Report 2005: The Quality Imperative.” Paris.,2005,
2007.,2007,
"“Education for All Global Monitoring Report 2007: Strong Foundations, Early Childhood Care and Education”.",2007,
2003.,2003,
“State of World Population 2003: Making One Billion Count—Investing in Adolescents’ Health and Rights”.,2003,
2007.,2007,
“State of World Population 2007: Unleashing the Potential of Urban Growth”.,2007,
2001.,2001,
“Progress in International Reading Literacy 128 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Study 2001”.,"2008, 2001",
1996.,1996,
1990.,1990,
"“Turkey Education Sector Study: Sustainable Pathways to an Effective, Equitable, and Efficient Education System for Preschool through Secondary School Education.” Human Development Sector Unit, Europe and Central Asia Region in association with Education Reform Initiative/ Istanbul Policy Center, De",2005,
2006.,2006,
"April 14, 2006.",2006,
2007.,2007,
2006.,2006,
2007.,2007,
